start station name,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender,Month,Year
5 Corners Library,559.8857142857142,3220.0,40.734961020009486,-74.05950307846071,3238.4,40.73452648991913,-74.0499360238301,28099.14285714286,1983.847619047619,1.1142857142857143,January,2019
Astor Place,505.80252100840335,3280.0,40.71928220070717,-74.07126188278198,3220.6890756302523,40.729373558068794,-74.06277033835902,28376.991596638654,1979.9243697478992,1.2226890756302522,January,2019
Baldwin at Montgomery,630.1712962962963,3225.0,40.723658900000174,-74.06419429999961,3232.6203703703704,40.72349867721095,-74.0512602733628,28414.310185185186,1982.976851851852,1.0787037037037037,January,2019
Bergen Ave,523.22,3679.0,40.72210378668594,-74.07145500183104,3218.5066666666667,40.7294034200163,-74.06178780751578,28187.666666666668,1982.6933333333334,1.2133333333333334,January,2019
Brunswick & 6th,387.5925925925926,3269.0,40.726011729646395,-74.0503889322281,3230.5864197530864,40.721003549956315,-74.04339793824246,28403.77366255144,1982.111111111111,1.3106995884773662,January,2019
Brunswick St,328.5986984815618,3209.0,40.72417649999989,-74.05065639999968,3214.4945770065074,40.720457155164226,-74.04359937742241,28384.58568329718,1983.12147505423,1.1973969631236443,January,2019
Christ Hospital,521.9407407407407,3212.0,40.73478581800007,-74.05044363600003,3310.703703703704,40.72951385727681,-74.05319315372006,28148.844444444443,1984.4814814814815,1.348148148148148,January,2019
City Hall,387.8986083499006,3185.0,40.71773249999999,-74.04384500000013,3269.6123260437375,40.71866037946369,-74.04487979621817,28441.06560636183,1979.6222664015904,1.1332007952286283,January,2019
Columbus Drive,358.78231292517006,3275.0,40.71835519823227,-74.03891444206238,3297.591836734694,40.72077222797668,-74.03877594834117,28411.043083900226,1981.2267573696145,1.0997732426303855,January,2019
Communipaw & Berry Lane,758.0,3277.0,40.71435836870431,-74.06661093235016,3209.8030303030305,40.71885931501433,-74.0482733264598,28457.21212121212,1982.878787878788,1.0303030303030303,January,2019
Dey St,402.8936170212766,3201.0,40.737711,-74.06692100000006,3467.574468085106,40.73339768252477,-74.06023987384361,28097.936170212764,1972.0851063829787,1.0638297872340425,January,2019
Dixon Mills,309.41424802110816,3279.0,40.72163014263824,-74.04996782541275,3245.598944591029,40.72018401969736,-74.04336503860407,28392.081794195252,1980.754617414248,1.279683377308707,January,2019
Essex Light Rail,458.5438066465257,3214.0,40.71277419999978,-74.03648569999973,3260.4682779456193,40.71887888427619,-74.0386387870828,28366.051359516616,1978.8549848942598,1.2628398791540785,January,2019
Exchange Place,404.3170134638923,3183.0,40.71624689999976,-74.03345879999875,3294.9755201958383,40.71790903721255,-74.03998037628915,28368.059975520195,1979.5128518971849,1.0722154222766218,January,2019
Fairmount Ave,451.8333333333333,3678.0,40.725726137425454,-74.07195925712584,3214.1021505376343,40.72935021486734,-74.06237022831739,28306.983870967742,1984.5483870967741,1.1559139784946237,January,2019
Glenwood Ave,371.7090909090909,3677.0,40.72755146730014,-74.07106071710588,3213.3,40.72888473852439,-74.06127844860498,27818.109090909093,1983.009090909091,1.1636363636363636,January,2019
Grand St,360.1232394366197,3681.0,40.71517767732026,-74.03768330812454,3272.3415492957747,40.718914584611525,-74.03980773521893,28281.221830985916,1979.8591549295775,1.1338028169014085,January,2019
Grove St PATH,339.5246148064637,3186.0,40.7195861164697,-74.0431174635887,3261.727921833897,40.72165349175632,-74.04706485678808,28403.28635851184,1980.425779782037,1.2006764374295378,January,2019
Hamilton Park,540.9577464788732,3203.0,40.727595965999384,-74.04424731100113,3237.3732394366198,40.721286752326144,-74.04247014471532,28484.229376257546,1980.758551307847,1.261569416498994,January,2019
Harborside,369.9877551020408,3639.0,40.719251700000264,-74.03423399999927,3257.5129251700682,40.72201567690297,-74.04001622162512,28493.137414965986,1980.7197278911565,1.126530612244898,January,2019
Heights Elevator,703.1551724137931,3198.0,40.748715945380276,-74.04044330120088,3225.146551724138,40.73478570316165,-74.04305980183825,28146.068965517243,1985.8189655172414,1.2155172413793103,January,2019
Hilltop,719.1610738255033,3206.0,40.7311688999999,-74.05757359999981,3267.798657718121,40.72677920432214,-74.04992045528653,28112.738255033557,1983.5570469798658,1.3221476510067114,January,2019
JC Medical Center,460.3910034602076,3205.0,40.716539780991816,-74.0496379137039,3219.889273356401,40.719178987896846,-74.04378725270936,28412.02422145329,1981.3044982698962,1.0934256055363323,January,2019
JCBS Depot,2062.0,3426.0,40.70965083364061,-74.0686011314392,3387.3333333333335,40.712265682259805,-74.06843796372412,26756.833333333332,1989.0,1.0,January,2019
Jackson Square,976.03125,3694.0,40.71113,-74.07889999999999,3260.5,40.71886818735045,-74.05131065086292,27919.625,1985.28125,1.40625,January,2019
Jersey & 3rd,262.76058931860035,3272.0,40.72333158646475,-74.04595255851744,3263.123388581952,40.72289751760176,-74.04381897301643,28460.500920810315,1979.7090239410682,1.263351749539595,January,2019
Jersey & 6th St,297.1647597254005,3270.0,40.725289107811314,-74.04557168483734,3222.141876430206,40.72057036484423,-74.04283122592662,28421.855835240276,1976.5217391304348,1.2151029748283753,January,2019
Journal Square,448.07780320366135,3640.0,40.73366999999987,-74.0625,3230.6521739130435,40.73710406315033,-74.05580314298624,28284.604118993135,1982.4645308924485,1.1922196796338673,January,2019
Lafayette Park,539.6666666666666,3268.0,40.71346382669198,-74.06285852193831,3215.3714285714286,40.716738781943,-74.04822767012702,28652.809523809523,1987.1809523809525,1.0857142857142856,January,2019
Leonard Gordon Park,660.0074074074074,3281.0,40.74590996631559,-74.05727148056029,3498.703703703704,40.72968586574045,-74.05600325525445,28302.274074074074,1982.2444444444445,1.0518518518518518,January,2019
Liberty Light Rail,980.7916666666666,3192.0,40.711242299999896,-74.05570129999981,3234.184027777778,40.71709012304852,-74.0446045696285,28360.340277777777,1982.7604166666667,1.0659722222222223,January,2019
Lincoln Park,750.7622950819672,3193.0,40.724605099886865,-74.07840594649316,3231.1475409836066,40.72710796821849,-74.06326407646826,28360.368852459018,1981.4426229508197,1.2950819672131149,January,2019
Manila & 1st,348.76395939086296,3273.0,40.72165072487986,-74.04288411140442,3266.1776649746193,40.72319503738404,-74.04363543046534,28481.52538071066,1980.0431472081218,1.1649746192893402,January,2019
Marin Light Rail,357.61804222648755,3276.0,40.71458403535874,-74.04281705617905,3249.9270633397314,40.71877044065356,-74.04105040485652,28383.380038387717,1981.869481765835,1.1593090211132437,January,2019
McGinley Square,433.7125,3194.0,40.72533992535556,-74.06762212514876,3260.896875,40.727037722023084,-74.06233532407147,28340.425,1982.978125,1.171875,January,2019
Monmouth and 6th,345.8154897494305,3278.0,40.72568548362893,-74.0487903356552,3233.487471526196,40.721222683451444,-74.04324645175073,28397.717539863326,1982.6856492027334,1.2984054669703873,January,2019
Montgomery St,402.3478260869565,3483.0,40.719420000000056,-74.05098999999983,3244.782608695652,40.720743799555514,-74.04406485798359,28487.765217391305,1979.4608695652173,1.1565217391304348,January,2019
Morris Canal,376.2975,3267.0,40.71241882375718,-74.03852552175522,3244.9075,40.71725851958887,-74.0362885896283,28389.2825,1979.79,1.135,January,2019
Newark Ave,334.64452423698384,3211.0,40.72152514999964,-74.04630454300045,3254.633752244165,40.72213041113478,-74.0446864209082,28423.321364452422,1982.0664272890485,1.199281867145422,January,2019
Newport PATH,463.3137254901961,3202.0,40.72722349999912,-74.03375889999894,3336.7279411764707,40.72298121062231,-74.03842327627511,28379.64338235294,1981.1666666666667,1.1544117647058822,January,2019
Newport Pkwy,1052.5460674157302,3199.0,40.72874480000013,-74.03210820000027,3290.2426966292137,40.72296741247361,-74.037784652026,28406.49213483146,1982.5168539325844,1.2314606741573033,January,2019
Oakland Ave,580.3930817610063,3207.0,40.737603699999895,-74.05247830000006,3397.6635220125786,40.73152296189849,-74.05559197758578,28219.19496855346,1983.493710691824,1.1477987421383649,January,2019
Paulus Hook,739.9073569482289,3184.0,40.71414539999973,-74.0335519,3292.4359673024524,40.71951294083248,-74.04186971419212,28325.485013623977,1981.449591280654,1.0435967302452316,January,2019
Pershing Field,703.4082278481013,3210.0,40.742677140999724,-74.05178863300044,3387.9018987341774,40.73220238557267,-74.05643511329427,28407.46518987342,1983.107594936709,1.1329113924050633,January,2019
Riverview Park,798.1333333333333,3196.0,40.74431869999993,-74.04399089999997,3251.7066666666665,40.72898825384879,-74.04349480217243,28253.81333333333,1983.6933333333334,1.12,January,2019
Sip Ave,447.3096309630963,3195.0,40.73074262530746,-74.06378388404845,3329.089108910891,40.725919738328514,-74.06671899201964,28304.690369036904,1981.7254725472546,1.1782178217821782,January,2019
Union St,860.2682926829268,3191.0,40.71821129999996,-74.08363939999995,3245.1951219512193,40.72885632105219,-74.06254387634053,27939.536585365855,1982.341463414634,1.5121951219512195,January,2019
Van Vorst Park,322.82555282555285,3213.0,40.718488919999835,-74.04772662500082,3245.159705159705,40.71955882169416,-74.0429914457264,28458.083538083538,1977.965601965602,1.1547911547911547,January,2019
Warren St,365.0316301703163,3187.0,40.7211236000002,-74.0380509499994,3286.8661800486616,40.7200488521409,-74.04020814345655,28597.902676399026,1980.5255474452554,1.1605839416058394,January,2019
Washington St,522.3384615384615,3638.0,40.724294100000265,-74.03548260000018,3280.0461538461536,40.72162109206652,-74.03830837396893,28423.353846153845,1981.6953846153847,1.1692307692307693,January,2019
